Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000]
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.7028735741626,29.9389783843171,29.0540502438887,26.4135334621291,24.1591645397436,25.3916042722957,39.2324924515438,32.9616997297928,33.5568220108438,30.6742640075973,30.3884892086331
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.8849864246884,34.8327126709734,31.7740639744829,31.7740649718039,31.7740649654452,31.7740649674762,31.774064967319,10.896615415611,10.8966154157554,10.8966154176256,10.8966154174558
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.51358537916881,9.8915656544739,9.7213410272457,10.6025152793146,11.1226046545493,10.4268979064582,9.99073104542373,10.1397956775634,10.3831440823399,10.8218426153091,11.8786293921792
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Czechia,CZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.082882698792,30.082882698792,30.082882698792,30.082882698792,30.082882698792,30.082882698792,35.0589480466936,36.9569700460576,35.5915623701905,37.0482490813899,39.1205960545767
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.1178967788188,37.3143330571665,40.6766339374819,39.6590543722955,39.5522656027358,39.1376276447157,37.8207213819986,40.7275192170895,40.0181963449571,39.9316205756289,40.8173634043953
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Estonia,EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.8591665016721,16.8591665016721,16.8591665016721,17.8293000641104,16.9251138131554,17.259467968451,19.6254572736891,19.9815781249775,19.9815784986261,19.9815782132483,21.8472739635488
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Finland,FIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.4115251760253,34.8366712956986,36.663924723529,36.7702485987393,37.088087433354,37.4992894206191,40.8974468448407,41.1120814408922,42.9116143470366,44.2938771881211,44.6341221240961
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.5464482687124,53.4006788919045,53.8453125408264,53.4313497338892,54.22809701048,53.5840017971124,44.5676539576655,45.4973167788285,46.014228077862,45.8807194442745,46.2979411789535
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Georgia,GEO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.4394636196272,14.4394636196272,14.4394636196272,14.4394636196272,14.4394636196272,14.4394636196272,14.4394636196272,14.4394636196272,14.4394636196272,13.6222991751537,21.3861168067712
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.7230008549174,51.7230008549174,51.4535217383662,50.3892426102979,51.4196335443013,49.836975706997,50.663317056386,51.5582984950284,56.3386360610239,52.4268936091657,54.5304487408769
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Greece,GRC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.7953532309297,22.6807622234907,21.2250636289762,26.1809951345359,26.7190223352782,25.155886500128,26.615097020673,25.0780516905755,26.0651794158672,24.124186267987,24.1241862536383
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Hungary,HUN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.1619707587623,36.4527126062002,27.2082717514447,26.8463884056225,29.888874465305,29.8313125859015,31.9823072928285,36.0603544541138,45.6742695604976,47.6784413499519,48.1660282970679
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.0811206274265,6.11295681063123,6.83183860548207,6.41348363795557,4.95556461475744,5.27520701412567,5.53286409742423,16.6433167610995,16.4159926576034,16.5442228794962,16.6287042018153
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Ireland,IRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49.7619395609749,43.6109763872537,44.7019365135545,45.401787303974,46.304488447386,54.2399307371352,53.741638636868,57.980720954033,61.1211459976402,63.2505709027776,64.7208933878996
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.4993498496642,41.136250509556,42.8850659908871,41.9986818382187,41.6242004595893,38.4935843683627,38.6733010735258,38.967701400696,37.4498346029638,37.5011324467226,38.1431754036212
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Latvia,LVA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.9120893290035,28.3776717410532,24.3854951737787,28.3236997800186,25.2422233037214,24.1925452142947,20.9512205359091,19.3862306435247,16.0566495048064,15.5429430645269,16.3402348708468
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.4868726202699,22.4868726202699,22.4868726202699,19.7143697185,20.2846418251027,21.0477916665383,19.6308969971086,19.366202155548,20.5185687924513,20.5119365998549,20.3309059005437
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Luxembourg,LUX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.1269211963142,16.9085872835838,19.2130110593769,18.4161343167579,18.5709682982703,14.582822786363,19.4949548454373,19.1649020400807,18.4385062519013,18.5940943563021,17.7580081090266
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Netherlands,NLD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.2326714009523,39.814871600347,40.1988270296713,38.7631049780558,38.7631070689588,41.5258547561405,39.9154933308881,40.2226916103911,39.4470197971947,39.1511786140146,40.9190863779859
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Norway,NOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.4661974330159,45.5116390998627,45.157645729619,47.2154670696878,46.2549172307754,46.2739256049115,46.4909540543363,48.9607156917364,54.9477080927867,54.4032154298811,49.9791294849608
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Poland,POL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.7043812311351,28.9692995016897,26.2409054163298,27.0678356471172,34.6670037229397,33.1125576811924,32.8392620590662,31.3744410179848,30.1132218982463,29.750886980476,29.3045397473535
